deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
Doomeed Wedding Day,Toluz,cEDH,13,5,1,7,cEDH,TRUE,TRUE,TRUE,FALSE,FALSE,Esper,Donato Giancola,New Capenna,jIQUKoqnmUi560I-XWEWWg,cEDH Doomsday&cEDH midrange,Brighton
twiddle shark,Brallin&Shabraz,cEDH,4,2,0,2,cEDH,TRUE,TRUE,FALSE,TRUE,TRUE,Jeskai,Paul Scott Canavan&Paul Scott Canavan,Ikoria,F7gmcCibf026zTcNnB0rew,cEDH artifacts,Brighton
Pondering the End of Days,Glarb,cEDH,0,0,0,0,cEDH,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Bram Sels,Bloomburrow,c-4WFWCVJUaOjbzWbj-TnQ,cEDH Doomsday,Brighton
The Stack Is Your Wonderland,Parnesse,mid,15,2,1,12,LGS,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Svetlin Velinov,New Capenna,FxogC8HyLESeMO0RKeZ5iQ,chaos&coin flip,Brighton
Nephalia Nightmares,Jeleva,high,16,6,2,8,LGS,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Cynthia Sheppard,Innistrad,wa9WtU4FeEO7RsyPj5zawgm,mill&drawing cards,Brighton
Cartography 1.01,Amalia,mid,1,1,0,0,LGS,TRUE,FALSE,TRUE,FALSE,FALSE,Bant,Alix Branwyn,Ixalan,I8JP_6ORP0SRdJc0CaLeGA,lifegain&artistocrats,Ennepetal
Centaur for Disease Control,Karador,mid,7,2,0,5,LGS,TRUE,FALSE,TRUE,FALSE,TRUE,Abzan,Laura Plansker,Theros,LRVblcVLPUK-Kmn4TRrq0w,poison&-1/-1 counters,Brighton
Cwtch,Hugs,mid,3,2,0,1,LGS,FALSE,FALSE,FALSE,TRUE,TRUE,Gruul,Steve Prescott,Bloomburrow,yuCakJLReUKDkR7vz2RDVg,food chain&landfall,Brighton
Taphonomy,Ellie and Alan,high,5,2,0,3,LGS,TRUE,TRUE,FALSE,FALSE,TRUE,Bant,Zoltan Boros&Zoltan Boros,Jurassic Park&Jurassic Park,lkgVXauefEWA9s8OQWn2Tw,food chain&dinosaurs,Brighton
The Wola Sequence,Zimone,mid,0,0,0,0,Unfinished,FALSE,TRUE,FALSE,FALSE,TRUE,Simic,Sam Wolfe Connelly,Arcavios,LHhGpoY6M0OCX3Z-BmTgmw,landfall&counters&maths,Brighton
